time,callsign,x,vx,y,vy,z,vz
110.0,TARGET_001,24198.686389956383,218.6797478769258,8751.065852359705,79.4840974604155,8302.494690287542,2.5403626814586513
111.0,TARGET_001,24417.539330961896,218.6942644449102,8830.567330721704,79.51957404233957,8305.106376901715,2.6096554968033283
112.0,TARGET_001,24636.19020768007,218.7906992054765,8910.289550569703,79.80708860077317,8307.7566143896,2.590333090738706
113.0,TARGET_001,24855.101819752857,218.91305913268408,8990.080707148269,79.80217472288295,8310.330025279489,2.5611379895265567
114.0,TARGET_001,25073.997487336033,218.83581033037828,9069.909567829916,79.71430938569524,8312.85331275468,2.558346846595089
115.0,TARGET_001,25292.82452298316,218.85713294620868,9149.464823979823,79.58620178080118,8315.379558170886,2.386591303580733
116.0,TARGET_001,25511.680723327107,218.81324561208882,9228.871774408672,79.43451075865646,8317.710916087337,2.1306822335644338
117.0,TARGET_001,25730.42002510148,218.68917706865543,9308.361602216579,79.31950436744197,8319.861969976102,2.1455202721829814
118.0,TARGET_001,25949.10165677518,218.59169723690556,9387.516187418687,79.22121479929403,8321.946497000967,1.955806337712892
119.0,TARGET_001,26167.670812079567,218.67080855352597,9466.55856127665,78.86302341871485,8323.816164155496,1.7745350727895148
120.0,TARGET_001,26386.300595685658,218.56806505513717,9545.407009171307,78.78102138045084,8325.586167316364,1.777421019849238
121.0,TARGET_001,26604.761750928734,218.48863633808932,9624.269227610213,78.90156839424574,8327.37094225683,1.7135604392149784
122.0,TARGET_001,26823.116344320642,218.31100451583745,9703.303872125924,79.01756145507784,8328.954689666478,1.50794153132678
123.0,TARGET_001,27041.464420029064,218.46773739381928,9782.414328272314,79.12273233281817,8330.42976985711,1.4265266360278608
124.0,TARGET_001,27260.014117320556,218.39252796573197,9861.606473158641,79.29077998559951,8331.817492968838,1.4068392910825473
125.0,TARGET_001,27478.35189364823,218.14044925783188,9941.272218468259,80.00525521853837,8333.244778353142,1.3768341714128023
126.0,TARGET_001,27696.491215125832,218.40140630105176,10021.355435436335,79.92843005700037,8334.54766787104,1.1458063556272202
127.0,TARGET_001,27914.79953982552,218.35285798253722,10101.318821369303,79.92886863657297,8335.738324932887,1.3869711604293706
128.0,TARGET_001,28133.05017247346,218.08122410243809,10181.238398804664,79.80277930731744,8337.240776667233,1.6641695619671903
129.0,TARGET_001,28351.049910460933,217.965976129206,10260.88897397578,79.61421037021404,8338.865994438254,1.578470070383669
