event_type,time,label,sensor,local_track_id,source_map_track_id,source_d2_xy,source_gate_xy,source_d2_z,source_gate_z,source_xy_rejected,source_z_rejected,accepted_stage,assigned_global_track_id,created,revived
measurement,333.24,HEDEF_5,RADAR_A,RADAR_A-T4302,GT-0004,0.9499657729444559,22.42005684091686,0.3445938701452442,16.265600372879273,False,False,source_map,GT-0004,False,False
measurement,333.33,HEDEF_4,RADAR_B,RADAR_B-T5960,GT-0017,12.440137701877038,16.014326314940615,3.6395355448715425,11.618285980628052,False,False,source_map,GT-0017,False,False
measurement,333.33,HEDEF_5,RADAR_B,RADAR_B-T7049,GT-0004,39.04770994021367,22.42005684091686,1.0651487460182645,16.265600372879273,True,False,create,GT-0077,True,False
measurement,333.4,HEDEF_3,RADAR_A,RADAR_A-T7577,,,,,,False,False,hungarian,GT-0031,False,False
measurement,333.78,HEDEF_2,RADAR_A,RADAR_A-T2645,GT-0061,1.5676921568876159,16.014326314940615,0.3510089884779919,11.618285980628052,False,False,source_map,GT-0061,False,False
measurement,333.83,HEDEF_4,RADAR_A,RADAR_A-T9079,GT-0017,10.510475661851542,22.42005684091686,0.03631898381068105,16.265600372879273,False,False,source_map,GT-0017,False,False
measurement,333.83,HEDEF_5,RADAR_A,RADAR_A-T4302,GT-0004,6.7682653092802685,22.42005684091686,0.3978434058620686,16.265600372879273,False,False,source_map,GT-0004,False,False
measurement,335.92,HEDEF_1,RADAR_A,RADAR_A-T7808,GT-0052,1.0858649368720799,16.014326314940615,0.47348724901291345,11.618285980628052,False,False,source_map,GT-0052,False,False
measurement,336.67,HEDEF_2,RADAR_A,RADAR_A-T2645,GT-0061,0.5743578982991017,16.014326314940615,2.113782119626143,11.618285980628052,False,False,source_map,GT-0061,False,False
measurement,336.67,HEDEF_5,RADAR_A,RADAR_A-T4302,GT-0004,0.31210049617386904,22.42005684091686,0.8200350019483995,16.265600372879273,False,False,source_map,GT-0004,False,False
measurement,337.64,HEDEF_2,RADAR_B,RADAR_B-T9217,,,,,,False,False,hungarian,GT-0061,False,False
