time,global_track_id,x,y,vx,vy,pos_sigma_m,fused_tq,prob,n_linked_sources
69.87,GT-0148,6010.6373618046655,12684.972268076986,56.29983837966756,86.35522410820283,52.489624940875885,13,0.959,4
70.51,GT-0004,7210.656210555253,9826.976702174783,97.39779118322704,-1.6815896944972621,47.89102074387375,13,0.952,4
70.51,GT-0148,6046.669258367653,12740.239611506237,56.29983837966756,86.35522410820283,52.519789442343864,13,0.93,4
70.52,GT-0004,7211.630188467085,9826.959886277838,97.39779118322704,-1.6815896944972621,47.8950887345103,13,0.924,4
70.52,GT-0148,6025.606740283464,12740.344974401158,54.1636607208568,81.1189110070473,39.67983892532993,14,0.992,4
71.57,GT-0004,7313.897869209472,9825.194217098617,97.39779118322704,-1.6815896944972621,48.36874891171516,13,0.896,4
71.57,GT-0076,6832.6128932473,10105.985251447324,96.86275465154648,-0.5228819789751498,70.18948708066135,12,0.931,2
71.57,GT-0148,6082.478584040364,12825.519830958558,54.1636607208568,81.1189110070473,39.69078641867455,14,0.962,4
71.72,GT-0004,7322.0944141005475,9828.421062654541,96.82055174188068,-0.9868165647162357,48.29840666193474,13,0.985,4
71.72,GT-0076,6847.142306445033,10105.906819150478,96.86275465154648,-0.5228819789751498,70.2426454585742,12,0.904,2
71.72,GT-0148,6090.603133148493,12837.687667609614,54.1636607208568,81.1189110070473,39.69504267843862,14,0.933,4
72.51,GT-0004,7398.582649976634,9827.641477568415,96.82055174188068,-0.9868165647162357,48.58672071242325,13,0.956,4
72.51,GT-0076,6923.663882619755,10105.493742387087,96.86275465154648,-0.5228819789751498,70.56124972282699,12,0.876,2
72.51,GT-0148,6119.659716138716,12917.772887973962,59.95376731772699,78.90117271391222,39.67130524010784,14,0.992,4
72.89,GT-0004,7435.374459638548,9827.266487273822,96.82055174188068,-0.9868165647162357,48.743826611621145,13,0.927,4
72.89,GT-0076,6960.471729387342,10105.295047235077,96.86275465154648,-0.5228819789751498,70.73884060779784,12,0.85,2
72.89,GT-0148,6142.442147719452,12947.755333605248,59.95376731772699,78.90117271391222,39.67233698615429,14,0.962,4
73.01,GT-0004,7446.992925847574,9827.148069286057,96.82055174188068,-0.9868165647162357,48.796163365147976,13,0.899,4
73.01,GT-0148,6149.636599797579,12957.223474330918,59.95376731772699,78.90117271391222,39.67321546178003,14,0.934,4
73.11,GT-0004,7456.674981021762,9827.049387629586,96.82055174188068,-0.9868165647162357,48.840816030140175,13,0.872,4
73.11,GT-0148,6155.631976529351,12965.113591602309,59.95376731772699,78.90117271391222,39.674205600400995,14,0.906,4
